
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
2024M07;;;;;;;;;;;;;
   TOTAL;15,534,68;1,432,00;195.00;11.91;4.34;2.11;71,108,37;1,332,00;187.00;18.59;5.88;4.42;
   Andalucia;2,033,87;1,391,00;169.00;10.30;1.49;1.94;10,306,32;1,333,00;163.00;22.53;8.46;7.51;
   Illes Balears;3,784,18;1,488,00;220.00;16.21;11.40;4.66;11,110,75;1,275,00;206.00;14.60;7.14;6.72;
   Canarias;1,947,43;1,677,00;207.00;4.98;-3.20;5.91;13,025,05;1,497,00;180.00;14.47;3.75;6.96;
   Cataluña;3,127,32;1,306,00;220.00;2.09;-1.56;-0.74;13,438,18;1,172,00;218.00;12.94;2.23;1.80;
   Comunidad Valenciana;2,062,59;1,397,00;139.00;20.11;8.38;-0.03;8,499,00;1,252,00;132.00;25.90;6.86;1.63;
   Madrid (Comunidad de);1,424,35;1,915,00;317.00;17.23;4.75;6.39;9,496,25;1,833,00;303.00;27.62;7.13;1.89;
   Resto CCAA;1,154,94;1,078,00;157.00;24.20;11.11;5.06;5,232,82;1,090,00;154.00;19.38;6.80;3.54;
2024M06;;;;;;;;;;;;;
   TOTAL;12,373,28;1,329,00;196.00;16.64;4.04;1.89;55,573,70;1,307,00;185.00;20.61;6.46;5.18;
   Andalucia;1,748,41;1,280,00;169.00;22.73;3.86;0.09;8,272,45;1,319,00;162.00;25.96;10.47;9.14;
   Illes Balears;2,753,18;1,254,00;208.00;12.59;5.56;5.78;7,326,57;1,187,00;199.00;13.79;5.26;7.59;
   Canarias;1,439,08;1,376,00;190.00;12.65;2.12;7.39;11,077,62;1,469,00;176.00;16.31;5.14;7.39;
   Cataluña;2,531,26;1,263,00;248.00;12.85;2.48;0.53;10,310,86;1,137,00;218.00;16.70;3.81;2.71;
   Comunidad Valenciana;1,403,11;1,253,00;132.00;26.32;5.70;2.69;6,436,42;1,212,00;130.00;27.87;6.63;2.26;
   Madrid (Comunidad de);1,606,18;1,902,00;298.00;20.91;6.71;1.27;8,071,89;1,819,00;301.00;29.65;7.65;1.13;
   Resto CCAA;892.06;1,211,00;156.00;14.60;-0.14;-4.26;4,077,88;1,094,00;153.00;18.08;5.64;3.12;
2024M05;;;;;;;;;;;;;
